,rep_0,rep_1
O14979_HNRNPDL,0.4330127018922193,0.0
O14980_XPO1,0.6863485850246137,0.6614378277661477
O15013_ARHGEF10,0.0,0.24743582965269678
O15014_ZNF609,0.3431742925123068,0.48218253804964767
O15020_SPTBN2,,
O15021_MAST4,0.1833030277982336,0.30743773095067284
O15027_SEC16A,0.4,0.2857142857142857
O15031_PLXNB2,,
O15033_AREL1,0.47140452079103173,0.4330127018922193
O15037_KHNYN,0.24743582965269678,0.0
O15040_TECPR2,,
O15042_U2SURP,,
O15047_SETD1A,1.0897247358851685,0.41659779045053097
O15055_PER2,,
O15056_SYNJ2,0.17320508075688776,0.532938710021193
O15061_SYNM,0.24118819447136,0.09116056881941462
O15063_GARRE1,0.0,
O15068_MCF2L,0.44095855184409843,0.25
O15075_DCLK1,0.45069390943299864,0.6968679932383177
O15084_ANKRD28,0.0,
O15085_ARHGEF11,0.22534695471649932,0.20518405874453094
O15117_FYB1,0.6693393181887239,0.17320508075688773
O15119_TBX3,0.3149183286488868,0.13323467750529827
O15126_SCAMP1,,
O15127_SCAMP2,,0.15745916432444343
O15143_ARPC1B,0.2165063509461097,0.2165063509461097
O15144_ARPC2,,
O15155_BET1,,
O15156_ZBTB7B,,0.47140452079103173
O15164_TRIM24,0.41659779045053097,0.0
O15173_PGRMC2,0.10340601836232105,0.071602745233685
O15211_RGL2,0.282842712474619,0.47140452079103173
O15226_NKRF,,
O15230_LAMA5,,0.0
O15231_ZNF185,0.10825317547305485,0.29037824751041347
O15234_CASC3,0.282842712474619,0.0
O15258_RER1,0.7071067811865476,
O15264_MAPK13,0.6060915267313264,0.692820323027551
O15294_OGT,0.0,
O15355_PPM1G,,
O15357_INPPL1,0.3535533905932738,0.5
O15372_EIF3H,,0.0
O15379_HDAC3,,
O15382_BCAT2,,0.282842712474619
O15400_STX7,0.3149183286488868,0.125
O15409_FOXP2,,
O15417_TNRC18,0.5773502691896257,0.5773502691896257
O15427_SLC16A3,0.49487165930539345,0.49487165930539345
O15432_SLC31A2,0.47140452079103173,
O15438_ABCC3,,
O15439_ABCC4,0.4330127018922193,0.4330127018922193
O15530_PDPK1,0.0,0.0
O15534_PER1,,
O15541_RNF113A,0.5,0.3333333333333333
O15550_KDM6A,,
O15551_CLDN3,0.24118819447136,0.31224989991991986
O15553_MEFV,,
O43149_ZZEF1,0.10878565864408424,0.5
O43150_ASAP2,0.21570955529345004,0.09897433186107872
O43159_RRP8,,
O43164_PJA2,0.47140452079103173,0.47140452079103173
O43166_SIPA1L1,0.16666666666666666,0.13323467750529827
O43169_CYB5B,,
O43182_ARHGAP6,,0.3535533905932738
O43236_SEPTIN4,0.0,0.2
O43237_DYNC1LI2,0.5773502691896257,0.16666666666666666
